"Reef","Site","Plot","Colony","Habitat","Depth","Cross_shelf","Taxa","Days_2022c","Survival_1","Area_2021","Area_cm_2021","log_2021","log10_2021","Note_2021","Note_2022"
"OCCH","OCCH_BA1S","OCCH_BA1S_P1","OCCH_BA1S_P1_31","BA_S","Shallow","offshore","Pmas",-125,1,0.006518517,65.18517,4.1772319890733,1.81414880248428,NA,NA
"OCCH","OCCH_BA1S","OCCH_BA1S_P1","OCCH_BA1S_P1_32","BA_S","Shallow","offshore","Menc",-125,1,0.015594653,155.94653,5.04951319208488,2.19297571562014,NA,NA
"OCCH","OCCH_BA1S","OCCH_BA1S_P1","OCCH_BA1S_P1_33","BA_S","Shallow","offshore","Pver",-125,1,0.004520709,45.20709,3.81125393294427,1.65520655220976,NA,NA
"OCCH","OCCH_BA1S","OCCH_BA1S_P1","OCCH_BA1S_P1_34","BA_S","Shallow","offshore","Menc",-125,1,0.039246758,392.46758,5.97245393508489,2.59380378742873,NA,NA
"OCCH","OCCH_BA1S","OCCH_BA1S_P1","OCCH_BA1S_P1_35","BA_S","Shallow","offshore","Acor",-125,1,0.005836241,58.36241,4.06667201820977,1.76613321721886,NA,NA
"OCCH","OCCH_BA1S","OCCH_BA1S_P1","OCCH_BA1S_P1_36","BA_S","Shallow","offshore","Acor",-125,1,0.015128687,151.28687,5.01917783579926,2.17980123777872,NA,NA
"OCCH","OCCH_BA1S","OCCH_BA1S_P1","OCCH_BA1S_P1_37","BA_S","Shallow","offshore","Acor",-125,1,0.016584174,165.84174,5.111033960113,2.2196938456972,NA,NA
"OCCH","OCCH_BA1S","OCCH_BA1S_P1","OCCH_BA1S_P1_38","BA_S","Shallow","offshore","Gspp",-125,1,0.002268451,22.68451,3.12168231270631,1.35572940266333,NA,"bad"
"OCCH","OCCH_BA1S","OCCH_BA1S_P1","OCCH_BA1S_P1_39","BA_S","Shallow","offshore","Adgt",-125,1,0.008233103,82.33103,4.41074807186004,1.91556354867422,NA,NA
"OCCH","OCCH_BA1S","OCCH_BA1S_P1","OCCH_BA1S_P1_40","BA_S","Shallow","offshore","Pmas",-125,1,0.00175364,17.5364,2.86427872072443,1.24394044304353,NA,NA
"OCCH","OCCH_BA1S","OCCH_BA1S_P1","OCCH_BA1S_P1_41","BA_S","Shallow","offshore","Pmas",-125,1,0.00570092,57.0092,4.04321265831918,1.7559449466694,NA,NA
"OCCH","OCCH_BA1S","OCCH_BA1S_P1","OCCH_BA1S_P1_42","BA_S","Shallow","offshore","Pmas",-125,1,0.001943208,19.43208,2.96692530861194,1.28851928974927,NA,NA
"OCCH","OCCH_BA1S","OCCH_BA1S_P1","OCCH_BA1S_P1_43","BA_S","Shallow","offshore","Pmas",-125,1,0.002670359,26.70359,3.28479801329652,1.42656965134144,NA,"bad"
"OCCH","OCCH_BA1S","OCCH_BA1S_P1","OCCH_BA1S_P1_44","BA_S","Shallow","offshore","Gspp",-125,1,0.004643196,46.43196,3.83798801522656,1.66681701662371,"o",NA
"OCCH","OCCH_BA1S","OCCH_BA1S_P1","OCCH_BA1S_P1_45","BA_S","Shallow","offshore","Pmas",-125,1,0.001834338,18.34338,2.90926874646719,1.26347936296429,NA,"bad"
"OCCH","OCCH_BA1S","OCCH_BA1S_P1","OCCH_BA1S_P1_46","BA_S","Shallow","offshore","Pmas",-125,1,0.001302339,13.02339,2.56674697155398,1.11472404618778,NA,"bad"
"OCCH","OCCH_BA1S","OCCH_BA1S_P1","OCCH_BA1S_P1_47","BA_S","Shallow","offshore","Gspp",-125,1,0.002457729,24.57729,3.20182284582207,1.39053399397229,NA,NA
"OCCH","OCCH_BA1S","OCCH_BA1S_P1","OCCH_BA1S_P1_48","BA_S","Shallow","offshore","Pmas",-125,1,0.002341046,23.41046,3.15318293103211,1.36940994737877,NA,"bad"
"OCCH","OCCH_BA1S","OCCH_BA1S_P1","OCCH_BA1S_P1_49","BA_S","Shallow","offshore","Pmas",-125,1,0.005347001,53.47001,3.97912093598138,1.72811026532242,NA,NA
"OCCH","OCCH_BA1S","OCCH_BA1S_P1","OCCH_BA1S_P1_50","BA_S","Shallow","offshore","Pmas",-125,1,0.003270827,32.70827,3.48762795112686,1.51465757410594,NA,"pm"
"OCCH","OCCH_BA1S","OCCH_BA1S_P1","OCCH_BA1S_P1_51","BA_S","Shallow","offshore","Pmas",-125,1,0.002934411,29.34411,3.37909184470389,1.46752094199918,NA,"pm"
"OCCH","OCCH_BA1S","OCCH_BA1S_P1","OCCH_BA1S_P1_52","BA_S","Shallow","offshore","Pmas",-125,1,0.010848414,108.48414,4.68660398718068,2.03536625049835,NA,NA
"OCCH","OCCH_BA1S","OCCH_BA1S_P1","OCCH_BA1S_P1_53","BA_S","Shallow","offshore","Spis",-125,1,0.006499997,64.99997,4.17438680835707,1.8129131561992,NA,"bad"
"OCCH","OCCH_BA1S","OCCH_BA1S_P1","OCCH_BA1S_P1_54","BA_S","Shallow","offshore","Pmas",-125,1,0.001139756,11.39756,2.43339929740395,1.05681188712979,NA,"bad"
"OCCH","OCCH_BA1S","OCCH_BA1S_P1","OCCH_BA1S_P1_55","BA_S","Shallow","offshore","Pmas",-125,1,0.001757579,17.57579,2.86652238689987,1.24491485488275,NA,"bad"
"OCCH","OCCH_BA1S","OCCH_BA1S_P1","OCCH_BA1S_P1_56","BA_S","Shallow","offshore","Pver",-125,1,0.005756084,57.56084,4.05284247538037,1.76012712308081,NA,"bad"
"OCCH","OCCH_BA1S","OCCH_BA1S_P1","OCCH_BA1S_P1_57","BA_S","Shallow","offshore","Pmas",-125,1,0.006435476,64.35476,4.16441090178043,1.80858067502098,NA,"pm"
"OCCH","OCCH_BA1S","OCCH_BA1S_P1","OCCH_BA1S_P1_58","BA_S","Shallow","offshore","Pmas",-125,1,0.002953061,29.53061,3.3854273525015,1.47027241807574,NA,NA
"OCCH","OCCH_BA1S","OCCH_BA1S_P1","OCCH_BA1S_P1_59","BA_S","Shallow","offshore","Pmas",-125,1,0.00348271,34.8271,3.55039581935534,1.5419173129184,NA,"pm"
"OCCH","OCCH_BA1S","OCCH_BA1S_P1","OCCH_BA1S_P1_60","BA_S","Shallow","offshore","Pver",-125,1,0.008661545,86.61545,4.46147820612236,1.93759536605056,NA,"bad"
"OCCH","OCCH_BA1S","OCCH_BA1S_P1","OCCH_BA1S_P1_61","BA_S","Shallow","offshore","Spis",-125,1,0.006384627,63.84627,4.15647816260456,1.80513553017053,NA,NA
"OCCH","OCCH_BA1S","OCCH_BA1S_P1","OCCH_BA1S_P1_62","BA_S","Shallow","offshore","Pmas",-125,1,0.007512903,75.12903,4.31920703534338,1.87580778164733,NA,"bad"
"OCCH","OCCH_BA1S","OCCH_BA1S_P1","OCCH_BA1S_P1_63","BA_S","Shallow","offshore","Pmas",-125,1,0.00166487,16.6487,2.81233213530012,1.22138032764003,NA,"bad"
"OCCH","OCCH_BA1S","OCCH_BA1S_P1","OCCH_BA1S_P1_64","BA_S","Shallow","offshore","Pmas",-125,1,0.00246435,24.6435,3.20451317403236,1.39170238866853,NA,"bad"
"OCCH","OCCH_BA1S","OCCH_BA1S_P1","OCCH_BA1S_P1_65","BA_S","Shallow","offshore","Pmas",-125,1,0.001975764,19.75764,2.98354025198863,1.2957350679749,NA,"bad"
"OCCH","OCCH_BA1S","OCCH_BA1S_P1","OCCH_BA1S_P1_66","BA_S","Shallow","offshore","Pmas",-125,1,0.003396103,33.96103,3.52521369078297,1.53098085343684,NA,NA
"OCCH","OCCH_BA1S","OCCH_BA1S_P1","OCCH_BA1S_P1_67","BA_S","Shallow","offshore","Gspp",-125,1,0.003249338,32.49338,3.4810363762799,1.51179488952285,NA,NA
"OCCH","OCCH_BA1S","OCCH_BA1S_P1","OCCH_BA1S_P1_68","BA_S","Shallow","offshore","Pmas",-125,1,0.003692458,36.92458,3.60887745394517,1.56731556411344,NA,NA
"OCCH","OCCH_BA1S","OCCH_BA1S_P1","OCCH_BA1S_P1_69","BA_S","Shallow","offshore","Menc",-125,1,0.002488254,24.88254,3.2141663526923,1.39589471089337,NA,NA
"OCCH","OCCH_BA1S","OCCH_BA1S_P1","OCCH_BA1S_P1_70","BA_S","Shallow","offshore","Pmas",-125,1,0.003247877,32.47877,3.48058664511828,1.51159957376102,NA,"pm"
"OCCH","OCCH_BA1S","OCCH_BA1S_P1","OCCH_BA1S_P1_71","BA_S","Shallow","offshore","Abra",-125,1,0.024223472,242.23472,5.48990717344615,2.38423639158874,NA,NA
"OCCH","OCCH_BA1S","OCCH_BA1S_P1","OCCH_BA1S_P1_72","BA_S","Shallow","offshore","Pmas",-125,1,0.009522741,95.22741,4.55626782052433,1.97876197252707,NA,NA
"OCCH","OCCH_BA1S","OCCH_BA1S_P1","OCCH_BA1S_P1_73","BA_S","Shallow","offshore","Pmas",-125,1,0.00750239,75.0239,4.31780672943954,1.87519963652032,NA,"pm"
"OCCH","OCCH_BA1S","OCCH_BA1S_P1","OCCH_BA1S_P1_74","BA_S","Shallow","offshore","Pmas",-125,1,0.012836299,128.36299,4.85486210983137,2.10843982470094,NA,"pm"
"OCCH","OCCH_BA1S","OCCH_BA1S_P1","OCCH_BA1S_P1_75","BA_S","Shallow","offshore","Pmas",-125,1,0.002332257,23.32257,3.14942156124198,1.36777640523452,NA,NA
"OCCH","OCCH_BA1S","OCCH_BA1S_P1","OCCH_BA1S_P1_76","BA_S","Shallow","offshore","Gspp",-125,1,0.006624125,66.24125,4.1933033806719,1.82112851917206,NA,NA
"OCCH","OCCH_BA1S","OCCH_BA1S_P1","OCCH_BA1S_P1_77","BA_S","Shallow","offshore","Pver",-125,1,0.010220183,102.20183,4.62694958367583,2.00945867223496,NA,NA
"OCCH","OCCH_BA1S","OCCH_BA1S_P1","OCCH_BA1S_P1_78","BA_S","Shallow","offshore","Acor",-125,1,0.002589176,25.89176,3.25392477136794,1.4131615727334,NA,NA
"OCCH","OCCH_BA1S","OCCH_BA1S_P1","OCCH_BA1S_P1_79","BA_S","Shallow","offshore","Adgt",-125,1,0.006593207,65.93207,4.18862496956848,1.81909671104577,NA,NA
